Index,Type,Name,Data CCQE,MC CCQE,MC Truth
324,Int_t,has_michel_view_sum_sz,1,1,0
325,Int_t,has_michel_view_sum,1,1,0
326,Int_t,improved_michel_in_vertex_point_sz,1,1,0
327,Int_t,improved_michel_in_vertex_point,1,1,0
328,Int_t,improved_michel_match_vec_sz,1,1,0
329,Int_t,improved_michel_match_vec,1,1,0
330,Int_t,improved_michel_matched_pdg_sz,1,1,0
331,Int_t,improved_michel_matched_pdg,1,1,0
332,Int_t,improved_michel_matched_primary_pdg_sz,1,1,0
333,Int_t,improved_michel_matched_primary_pdg,1,1,0
334,Int_t,improved_michel_ndigits_sz,1,1,0
335,Int_t,improved_michel_ndigits,1,1,0
336,Int_t,improved_michel_vertex_type_sz,1,1,0
337,Int_t,improved_michel_vertex_type,1,1,0
338,Int_t,improved_michel_view_vec_sz,1,1,0
339,Int_t,improved_michel_view_vec,1,1,0
340,Int_t,nonvtx_iso_blobs_good_fit_in_prong_sz,1,1,0
341,Int_t,nonvtx_iso_blobs_good_fit_in_prong,1,1,0
342,Int_t,nonvtx_iso_blobs_n_clusters_in_prong_sz,1,1,0
343,Int_t,nonvtx_iso_blobs_n_clusters_in_prong,1,1,0
344,Int_t,nonvtx_iso_blobs_n_hits_in_prong_sz,1,1,0
345,Int_t,nonvtx_iso_blobs_n_hits_in_prong,1,1,0
346,Int_t,nonvtx_iso_blobs_particle_pdg_in_prong_sz,1,1,0
347,Int_t,nonvtx_iso_blobs_particle_pdg_in_prong,1,1,0
348,Int_t,nonvtx_iso_blobs_primary_particle_pdg_in_prong_sz,1,1,0
349,Int_t,nonvtx_iso_blobs_primary_particle_pdg_in_prong,1,1,0
350,Int_t,number_clusters_at_end_proton_prong_sz,1,1,0
351,Int_t,number_clusters_at_end_proton_prong,1,1,0
352,Int_t,recoil_lower_time_limit_sz,1,1,0
353,Int_t,recoil_lower_time_limit,1,1,0
354,Int_t,recoil_upper_time_limit_sz,1,1,0
355,Int_t,recoil_upper_time_limit,1,1,0
356,Int_t,sec_protons_prong_PDG_sz,1,1,0
357,Int_t,sec_protons_prong_PDG,1,1,0
358,Int_t,sec_protons_prong_traj_ID_sz,1,1,0
359,Int_t,sec_protons_prong_traj_ID,1,1,0
360,Int_t,FittedMichel_all_micheltrajectory_energy_sz,1,1,0
361,Double_t,FittedMichel_all_micheltrajectory_energy,1,1,0
362,Int_t,FittedMichel_all_micheltrajectory_finalx_sz,1,1,0
363,Double_t,FittedMichel_all_micheltrajectory_finalx,1,1,0
364,Int_t,FittedMichel_all_micheltrajectory_finaly_sz,1,1,0
365,Double_t,FittedMichel_all_micheltrajectory_finaly,1,1,0
366,Int_t,FittedMichel_all_micheltrajectory_finalz_sz,1,1,0
367,Double_t,FittedMichel_all_micheltrajectory_finalz,1,1,0
368,Int_t,FittedMichel_all_micheltrajectory_momentum_sz,1,1,0
369,Double_t,FittedMichel_all_micheltrajectory_momentum,1,1,0
370,Int_t,FittedMichel_all_micheltrajectory_momentumx_sz,1,1,0
371,Double_t,FittedMichel_all_micheltrajectory_momentumx,1,1,0
372,Int_t,FittedMichel_all_micheltrajectory_momentumy_sz,1,1,0
373,Double_t,FittedMichel_all_micheltrajectory_momentumy,1,1,0
374,Int_t,FittedMichel_all_micheltrajectory_momentumz_sz,1,1,0
375,Double_t,FittedMichel_all_micheltrajectory_momentumz,1,1,0
376,Int_t,FittedMichel_all_muontrajectory_energy_sz,1,1,0
377,Double_t,FittedMichel_all_muontrajectory_energy,1,1,0
378,Int_t,FittedMichel_all_muontrajectory_finalx_sz,1,1,0
379,Double_t,FittedMichel_all_muontrajectory_finalx,1,1,0
380,Int_t,FittedMichel_all_muontrajectory_finaly_sz,1,1,0
381,Double_t,FittedMichel_all_muontrajectory_finaly,1,1,0
382,Int_t,FittedMichel_all_muontrajectory_finalz_sz,1,1,0
383,Double_t,FittedMichel_all_muontrajectory_finalz,1,1,0
384,Int_t,FittedMichel_all_muontrajectory_momentum_sz,1,1,0
385,Double_t,FittedMichel_all_muontrajectory_momentum,1,1,0
386,Int_t,FittedMichel_all_muontrajectory_momentumx_sz,1,1,0
387,Double_t,FittedMichel_all_muontrajectory_momentumx,1,1,0
388,Int_t,FittedMichel_all_muontrajectory_momentumy_sz,1,1,0
389,Double_t,FittedMichel_all_muontrajectory_momentumy,1,1,0
390,Int_t,FittedMichel_all_muontrajectory_momentumz_sz,1,1,0
391,Double_t,FittedMichel_all_muontrajectory_momentumz,1,1,0
392,Int_t,FittedMichel_all_othertrajectory_energy_sz,1,1,0
393,Double_t,FittedMichel_all_othertrajectory_energy,1,1,0
394,Int_t,FittedMichel_all_othertrajectory_finalx_sz,1,1,0
395,Double_t,FittedMichel_all_othertrajectory_finalx,1,1,0
396,Int_t,FittedMichel_all_othertrajectory_finaly_sz,1,1,0
397,Double_t,FittedMichel_all_othertrajectory_finaly,1,1,0
398,Int_t,FittedMichel_all_othertrajectory_finalz_sz,1,1,0
399,Double_t,FittedMichel_all_othertrajectory_finalz,1,1,0
400,Int_t,FittedMichel_all_othertrajectory_momentum_sz,1,1,0
401,Double_t,FittedMichel_all_othertrajectory_momentum,1,1,0
402,Int_t,FittedMichel_all_othertrajectory_momentumx_sz,1,1,0
403,Double_t,FittedMichel_all_othertrajectory_momentumx,1,1,0
404,Int_t,FittedMichel_all_othertrajectory_momentumy_sz,1,1,0
405,Double_t,FittedMichel_all_othertrajectory_momentumy,1,1,0
406,Int_t,FittedMichel_all_othertrajectory_momentumz_sz,1,1,0
407,Double_t,FittedMichel_all_othertrajectory_momentumz,1,1,0
408,Int_t,FittedMichel_all_piontrajectory_energy_sz,1,1,0
409,Double_t,FittedMichel_all_piontrajectory_energy,1,1,0
410,Int_t,FittedMichel_all_piontrajectory_finalx_sz,1,1,0
411,Double_t,FittedMichel_all_piontrajectory_finalx,1,1,0
412,Int_t,FittedMichel_all_piontrajectory_finaly_sz,1,1,0
413,Double_t,FittedMichel_all_piontrajectory_finaly,1,1,0
414,Int_t,FittedMichel_all_piontrajectory_finalz_sz,1,1,0
415,Double_t,FittedMichel_all_piontrajectory_finalz,1,1,0
416,Int_t,FittedMichel_all_piontrajectory_momentum_sz,1,1,0
417,Double_t,FittedMichel_all_piontrajectory_momentum,1,1,0
418,Int_t,FittedMichel_all_piontrajectory_momentumx_sz,1,1,0
419,Double_t,FittedMichel_all_piontrajectory_momentumx,1,1,0
420,Int_t,FittedMichel_all_piontrajectory_momentumy_sz,1,1,0
421,Double_t,FittedMichel_all_piontrajectory_momentumy,1,1,0
422,Int_t,FittedMichel_all_piontrajectory_momentumz_sz,1,1,0
423,Double_t,FittedMichel_all_piontrajectory_momentumz,1,1,0
424,Int_t,FittedMichel_closestclusterUZ_distance_sz,1,1,0
425,Double_t,FittedMichel_closestclusterUZ_distance,1,1,0
426,Int_t,FittedMichel_closestclusterU_Z_pos_sz,1,1,0
427,Double_t,FittedMichel_closestclusterU_Z_pos,1,1,0
428,Int_t,FittedMichel_closestclusterU_clustime_sz,1,1,0
429,Double_t,FittedMichel_closestclusterU_clustime,1,1,0
430,Int_t,FittedMichel_closestclusterU_distance_sz,1,1,0
431,Double_t,FittedMichel_closestclusterU_distance,1,1,0
